OrderID,ProductID,Quantity,Discount
10382,18,9,0
10382,29,14,0
10382,33,60,0
10382,74,50,0
10383,13,20,0
10383,50,15,0
10383,56,20,0
10384,20,28,0
10384,60,15,0
10385,7,10,0.2
10385,60,20,0.2
10385,68,8,0.2
10386,24,15,0
10386,34,10,0
10387,24,15,0
10387,28,6,0
10387,59,12,0
10387,71,15,0
10388,45,15,0.2
10388,52,20,0.2
10388,53,40,0
10389,10,16,0
10389,55,15,0
10389,62,20,0
10389,70,30,0
10390,31,60,0.1
10390,35,40,0.1
10390,46,45,0
10390,72,24,0.1
10391,13,18,0
10392,69,50,0
10393,2,25,0.25
10393,14,42,0.25
10393,25,7,0.25
10393,26,70,0.25
10393,31,32,0
10394,13,10,0
10394,62,10,0
10395,46,28,0.1
10395,53,70,0.1
10395,69,8,0
10396,23,40,0
10396,71,60,0
10396,72,21,0
10397,21,10,0.15
10397,51,18,0.15
10398,35,30,0
10398,55,120,0.1
10399,68,60,0
10399,71,30,0
10399,76,35,0
10399,77,14,0
10400,29,21,0
10400,35,35,0
10400,49,30,0
10401,30,18,0
10401,56,70,0
10401,65,20,0
10401,71,60,0
10402,23,60,0
10402,63,65,0
10403,16,21,0.15
10403,48,70,0.15
10404,26,30,0.05
10404,42,40,0.05
10404,49,30,0.05
10405,3,50,0
10406,1,10,0
10406,21,30,0.1
10406,28,42,0.1
10406,36,5,0.1
10406,40,2,0.1
10407,11,30,0
10407,69,15,0
10407,71,15,0
10408,37,10,0
10408,54,6,0
10408,62,35,0
10409,14,12,0
10409,21,12,0
10410,33,49,0
10410,59,16,0
10411,41,25,0.2
10411,44,40,0.2
10411,59,9,0.2
10412,14,20,0.1
10413,1,24,0
10413,62,40,0
10413,76,14,0
10414,19,18,0.05
10414,33,50,0
10415,17,2,0
10415,33,20,0
10416,19,20,0
10416,53,10,0
10416,57,20,0
10417,38,50,0
10417,46,2,0.25
10417,68,36,0.25
10417,77,35,0
10418,2,60,0
10418,47,55,0
10418,61,16,0
10418,74,15,0
10419,60,60,0.05
10419,69,20,0.05
10420,9,20,0.1
10420,13,2,0.1
10420,70,8,0.1
10420,73,20,0.1
10421,19,4,0.15
10421,26,30,0
10421,53,15,0.15
10421,77,10,0.15
10422,26,2,0
10423,31,14,0
10423,59,20,0
10424,35,60,0.2
10424,38,49,0.2
10424,68,30,0.2
10425,55,10,0.25
10425,76,20,0.25
10426,56,5,0
10426,64,7,0
10427,14,35,0
10428,46,20,0
10429,50,40,0
10429,63,35,0.25
10430,17,45,0.2
10430,21,50,0
10430,56,30,0
10430,59,70,0.2
10431,17,50,0.25
10431,40,50,0.25
10431,47,30,0.25
10432,26,10,0
10432,54,40,0
10433,56,28,0
10434,11,6,0
10434,76,18,0.15
10435,2,10,0
10435,22,12,0
10435,72,10,0
10436,46,5,0
10436,56,40,0.1
10436,64,30,0.1
10436,75,24,0.1
10437,53,15,0
10438,19,15,0.2
10438,34,20,0.2
10438,57,15,0.2
10439,12,15,0
10439,16,16,0
10439,64,6,0
10439,74,30,0
10440,2,45,0.15
10440,16,49,0.15
10440,29,24,0.15
10440,61,90,0.15
10441,27,50,0
10442,11,30,0
10442,54,80,0
10442,66,60,0
10443,11,6,0.2
10443,28,12,0
10444,17,10,0
10444,26,15,0
10444,35,8,0
10444,41,30,0
10445,39,6,0
10445,54,15,0
10446,19,12,0.1
10446,24,20,0.1
10446,31,3,0.1
10446,52,15,0.1
10447,19,40,0
10447,65,35,0
10447,71,2,0
10448,26,6,0
10448,40,20,0
10449,10,14,0
10449,52,20,0
10449,62,35,0
10450,10,20,0.2
10450,54,6,0.2
10451,55,120,0.1
10451,64,35,0.1
10451,65,28,0.1
10451,77,55,0.1
10452,28,15,0
10452,44,100,0.05
10453,48,15,0.1
10453,70,25,0.1
10454,16,20,0.2
10454,33,20,0.2
10454,46,10,0.2
10455,39,20,0
10455,53,50,0
10455,61,25,0
10455,71,30,0
10456,21,40,0.15
10456,49,21,0.15
10457,59,36,0
10458,26,30,0
10458,28,30,0
10458,43,20,0
10458,56,15,0
10458,71,50,0
10459,7,16,0.05
10459,46,20,0.05
10459,72,40,0
10460,68,21,0.25
10460,75,4,0.25
10461,21,40,0.25
10461,30,28,0.25
10461,55,60,0.25
10462,13,1,0
10462,23,21,0
10463,19,21,0
10463,42,50,0
10464,4,16,0.2
10464,43,3,0
10464,56,30,0.2
10464,60,20,0
10465,24,25,0
10465,29,18,0.1
10465,40,20,0
10465,45,30,0.1
10465,50,25,0
10466,11,10,0
10466,46,5,0
10467,24,28,0
10467,25,12,0
10468,30,8,0
10468,43,15,0
10469,2,40,0.15
10469,16,35,0.15
10469,44,2,0.15
10470,18,30,0
10470,23,15,0
10470,64,8,0
10471,7,30,0
10471,56,20,0
10472,24,80,0.05
10472,51,18,0
10473,33,12,0
10473,71,12,0
10474,14,12,0
10474,28,18,0
10474,40,21,0
10474,75,10,0
10475,31,35,0.15
10475,66,60,0.15
10475,76,42,0.15
10476,55,2,0.05
10476,70,12,0
10477,1,15,0
10477,21,21,0.25
10477,39,20,0.25
10478,10,20,0.05
10479,38,30,0
10479,53,28,0
10479,59,60,0
10479,64,30,0
10480,47,30,0
10480,59,12,0
10481,49,24,0
10481,60,40,0
10482,40,10,0
10483,34,35,0.05
10483,77,30,0.05
10484,21,14,0
10484,40,10,0
10484,51,3,0
10485,2,20,0.1
10485,3,20,0.1
10485,55,30,0.1
10485,70,60,0.1
10486,11,5,0
10486,51,25,0
10486,74,16,0
10487,19,5,0
10487,26,30,0
10487,54,24,0.25
10488,59,30,0
10488,73,20,0.2
10489,11,15,0.25
10489,16,18,0
10490,59,60,0
10490,68,30,0
10490,75,36,0
10491,44,15,0.15
10491,77,7,0.15
10492,25,60,0.05
10492,42,20,0.05
10493,65,15,0.1
10493,66,10,0.1
10493,69,10,0.1
10494,56,30,0
10495,23,10,0
10495,41,20,0
10495,77,5,0
10496,31,20,0.05
10497,56,14,0
10497,72,25,0
10497,77,25,0
10498,24,14,0
10498,40,5,0
10498,42,30,0
10499,28,20,0
10499,49,25,0
10500,15,12,0.05
10500,28,8,0.05
10501,54,20,0
10502,45,21,0
10502,53,6,0
10502,67,30,0
10503,14,70,0
10503,65,20,0
10504,2,12,0
10504,21,12,0
10504,53,10,0
10504,61,25,0
10505,62,3,0
10506,25,18,0.1
10506,70,14,0.1
10507,43,15,0.15
10507,48,15,0.15
10508,13,10,0
10508,39,10,0
10509,28,3,0
10510,29,36,0
10510,75,36,0.1
10511,4,50,0.15
10511,7,50,0.15
10511,8,10,0.15
10512,24,10,0.15
10512,46,9,0.15
10512,47,6,0.15
10512,60,12,0.15
10513,21,40,0.2
10513,32,50,0.2
10513,61,15,0.2
10514,20,39,0
10514,28,35,0
10514,56,70,0
10514,65,39,0
10514,75,50,0
10515,9,16,0.15
10515,16,50,0
10515,27,120,0
10515,33,16,0.15
10515,60,84,0.15
10516,18,25,0.1
10516,41,80,0.1
10516,42,20,0
10517,52,6,0
10517,59,4,0
10517,70,6,0
10518,24,5,0
10518,38,15,0
10518,44,9,0
10519,10,16,0.05
10519,56,40,0
10519,60,10,0.05
10520,24,8,0
10520,53,5,0
10521,35,3,0
10521,41,10,0
10521,68,6,0
10522,1,40,0.2
10522,8,24,0
10522,30,20,0.2
10522,40,25,0.2
10523,17,25,0.1
10523,20,15,0.1
10523,37,18,0.1
10523,41,6,0.1
10524,10,2,0
10524,30,10,0
10524,43,60,0
10524,54,15,0
10525,36,30,0
10525,40,15,0.1
10526,1,8,0.15
10526,13,10,0
10526,56,30,0.15
10527,4,50,0.1
10527,36,30,0.1
10528,11,3,0
10528,33,8,0.2
10528,72,9,0
10529,55,14,0
10529,68,20,0
10529,69,10,0
10530,17,40,0
10530,43,25,0
10530,61,20,0
10530,76,50,0
10531,59,2,0
10532,30,15,0
10532,66,24,0
10533,4,50,0.05
10533,72,24,0
10533,73,24,0.05
10534,30,10,0
10534,40,10,0.2
10534,54,10,0.2
10535,11,50,0.1
10535,40,10,0.1
10535,57,5,0.1
10535,59,15,0.1
10536,12,15,0.25
10536,31,20,0
10536,33,30,0
10536,60,35,0.25
10537,31,30,0
10537,51,6,0
10537,58,20,0
10537,72,21,0
10537,73,9,0
10538,70,7,0
10538,72,1,0
10539,13,8,0
10539,21,15,0
10539,33,15,0
10539,49,6,0
10540,3,60,0
10540,26,40,0
10540,38,30,0
10540,68,35,0
10541,24,35,0.1
10541,38,4,0.1
10541,65,36,0.1
10541,71,9,0.1
10542,11,15,0.05
10542,54,24,0.05
10543,12,30,0.15
10543,23,70,0.15
10544,28,7,0
10544,67,7,0
10545,11,10,0
10546,7,10,0
10546,35,30,0
10546,62,40,0
10547,32,24,0.15
10547,36,60,0
10548,34,10,0.25
10548,41,14,0
10549,31,55,0.15
10549,45,100,0.15
10549,51,48,0.15
10550,17,8,0.1
10550,19,10,0
10550,21,6,0.1
10550,61,10,0.1
10551,16,40,0.15
10551,35,20,0.15
10551,44,40,0
10552,69,18,0
10552,75,30,0
10553,11,15,0
10553,16,14,0
10553,22,24,0
10553,31,30,0
10553,35,6,0
10554,16,30,0.05
10554,23,20,0.05
10554,62,20,0.05
10554,77,10,0.05
10555,14,30,0.2
10555,19,35,0.2
10555,24,18,0.2
10555,51,20,0.2
10555,56,40,0.2
10556,72,24,0
10557,64,30,0
10557,75,20,0
10558,47,25,0
10558,51,20,0
10558,52,30,0
10558,53,18,0
10558,73,3,0
10559,41,12,0.05
10559,55,18,0.05
10560,30,20,0
10560,62,15,0.25
10561,44,10,0
10561,51,50,0
10562,33,20,0.1
10562,62,10,0.1
10563,36,25,0
10563,52,70,0
10564,17,16,0.05
10564,31,6,0.05
10564,55,25,0.05
10565,24,25,0.1
10565,64,18,0.1
10566,11,35,0.15
10566,18,18,0.15
10566,76,10,0
10567,31,60,0.2
10567,51,3,0
10567,59,40,0.2
10568,10,5,0
10569,31,35,0.2
10569,76,30,0
10570,11,15,0.05
10570,56,60,0.05
10571,14,11,0.15
10571,42,28,0.15
10572,16,12,0.1
10572,32,10,0.1
10572,40,50,0
10572,75,15,0.1
10573,17,18,0
10573,34,40,0
10573,53,25,0
10574,33,14,0
10574,40,2,0
10574,62,10,0
10574,64,6,0
10575,59,12,0
10575,63,6,0
10575,72,30,0
10575,76,10,0
10576,1,10,0
10576,31,20,0
10576,44,21,0
10577,39,10,0
10577,75,20,0
10577,77,18,0
10578,35,20,0
10578,57,6,0
10579,15,10,0
10579,75,21,0
10580,14,15,0.05
10580,41,9,0.05
10580,65,30,0.05
10581,75,50,0.2
10582,57,4,0
10582,76,14,0
10583,29,10,0
10583,60,24,0.15
10583,69,10,0.15
10584,31,50,0.05
10585,47,15,0
10586,52,4,0.15
10587,26,6,0
10587,35,20,0
10587,77,20,0
10588,18,40,0.2
10588,42,100,0.2
10589,35,4,0
10590,1,20,0
10590,77,60,0.05
10591,3,14,0
10591,7,10,0
10591,54,50,0
10592,15,25,0.05
10592,26,5,0.05
10593,20,21,0.2
10593,69,20,0.2
10593,76,4,0.2
10594,52,24,0
10594,58,30,0
10595,35,30,0.25
10595,61,120,0.25
10595,69,65,0.25
10596,56,5,0.2
10596,63,24,0.2
10596,75,30,0.2
10597,24,35,0.2
10597,57,20,0
10597,65,12,0.2
10598,27,50,0
10598,71,9,0
10599,62,10,0
10600,54,4,0
10600,73,30,0
10601,13,60,0
10601,59,35,0
10602,77,5,0.25
10603,22,48,0
10603,49,25,0.05
10604,48,6,0.1
10604,76,10,0.1
10605,16,30,0.05
10605,59,20,0.05
10605,60,70,0.05
10605,71,15,0.05
10606,4,20,0.2
10606,55,20,0.2
10606,62,10,0.2
10607,7,45,0
10607,17,100,0
10607,33,14,0
10607,40,42,0
10607,72,12,0
10608,56,28,0
10609,1,3,0
10609,10,10,0
10609,21,6,0
10610,36,21,0.25
10611,1,6,0
10611,2,10,0
10611,60,15,0
10612,10,70,0
10612,36,55,0
10612,49,18,0
10612,60,40,0
10612,76,80,0
10613,13,8,0.1
10613,75,40,0
10614,11,14,0
10614,21,8,0
10614,39,5,0
10615,55,5,0
10616,38,15,0.05
10616,56,14,0
10616,70,15,0.05
10616,71,15,0.05
10617,59,30,0.15
10618,6,70,0
10618,56,20,0
10618,68,15,0
10619,21,42,0
10619,22,40,0
10620,24,5,0
10620,52,5,0
10621,19,5,0
10621,23,10,0
10621,70,20,0
10621,71,15,0
10622,2,20,0
10622,68,18,0.2
10623,14,21,0
10623,19,15,0.1
10623,21,25,0.1
10623,24,3,0
10623,35,30,0.1
10624,28,10,0
10624,29,6,0
10624,44,10,0
10625,14,3,0
10625,42,5,0
10625,60,10,0
10626,53,12,0
10626,60,20,0
10626,71,20,0
10627,62,15,0
10627,73,35,0.15
10628,1,25,0
10629,29,20,0
10629,64,9,0
10630,55,12,0.05
10630,76,35,0
10631,75,8,0.1
10632,2,30,0.05
10632,33,20,0.05
10633,12,36,0.15
10633,13,13,0.15
10633,26,35,0.15
10633,62,80,0.15
10634,7,35,0
10634,18,50,0
10634,51,15,0
10634,75,2,0
10635,4,10,0.1
10635,5,15,0.1
10635,22,40,0
10636,4,25,0
10636,58,6,0
10637,11,10,0
10637,50,25,0.05
10637,56,60,0.05
10638,45,20,0
10638,65,21,0
10638,72,60,0
10639,18,8,0
10640,69,20,0.25
10640,70,15,0.25
10641,2,50,0
10641,40,60,0
10642,21,30,0.2
10642,61,20,0.2
10643,28,15,0.25
10643,39,21,0.25
10643,46,2,0.25
10644,18,4,0.1
10644,43,20,0
10644,46,21,0.1
10645,18,20,0
10645,36,15,0
10646,1,15,0.25
10646,10,18,0.25
10646,71,30,0.25
10646,77,35,0.25
10647,19,30,0
10647,39,20,0
10648,22,15,0
10648,24,15,0.15
10649,28,20,0
10649,72,15,0
10650,30,30,0
10650,53,25,0.05
10650,54,30,0
10651,19,12,0.25
10651,22,20,0.25
10652,30,2,0.25
10652,42,20,0
10653,16,30,0.1
10653,60,20,0.1
10654,4,12,0.1
10654,39,20,0.1
10654,54,6,0.1
10655,41,20,0.2
10656,14,3,0.1
10656,44,28,0.1
10656,47,6,0.1
10657,15,50,0
10657,41,24,0
10657,46,45,0
10657,47,10,0
10657,56,45,0
10657,60,30,0
10658,21,60,0
10658,40,70,0.05
10658,60,55,0.05
10658,77,70,0.05
10659,31,20,0.05
10659,40,24,0.05
10659,70,40,0.05
10660,20,21,0
10661,39,3,0.2
10661,58,49,0.2
10662,68,10,0
10663,40,30,0.05
10663,42,30,0.05
10663,51,20,0.05
10664,10,24,0.15
10664,56,12,0.15
10664,65,15,0.15
10665,51,20,0
10665,59,1,0
10665,76,10,0
10666,29,36,0
10666,65,10,0
10667,69,45,0.2
10667,71,14,0.2
10668,31,8,0.1
10668,55,4,0.1
10668,64,15,0.1
10669,36,30,0
10670,23,32,0
10670,46,60,0
10670,67,25,0
10670,73,50,0
10670,75,25,0
10671,16,10,0
10671,62,10,0
10671,65,12,0
10672,38,15,0.1
10672,71,12,0
10673,16,3,0
10673,42,6,0
10673,43,6,0
10674,23,5,0
10675,14,30,0
10675,53,10,0
10675,58,30,0
10676,10,2,0
10676,19,7,0
10676,44,21,0
10677,26,30,0.15
10677,33,8,0.15
10678,12,100,0
10678,33,30,0
10678,41,120,0
10678,54,30,0
10679,59,12,0
10680,16,50,0.25
10680,31,20,0.25
10680,42,40,0.25
10681,19,30,0.1
10681,21,12,0.1
10681,64,28,0
10682,33,30,0
10682,66,4,0
10682,75,30,0
10683,52,9,0
10684,40,20,0
10684,47,40,0
10684,60,30,0
10685,10,20,0
10685,41,4,0
10685,47,15,0
10686,17,30,0.2
10686,26,15,0
10687,9,50,0.25
10687,29,10,0
10687,36,6,0.25
10688,10,18,0.1
10688,28,60,0.1
10688,34,14,0
10689,1,35,0.25
10690,56,20,0.25
10690,77,30,0.25
10691,1,30,0
10691,29,40,0
10691,43,40,0
10691,44,24,0
10691,62,48,0
10692,63,20,0
10693,9,6,0
10693,54,60,0.15
10693,69,30,0.15
10693,73,15,0.15
10694,7,90,0
10694,59,25,0
10694,70,50,0
10695,8,10,0
10695,12,4,0
10695,24,20,0
10696,17,20,0
10696,46,18,0
10697,19,7,0.25
10697,35,9,0.25
10697,58,30,0.25
10697,70,30,0.25
10698,11,15,0
10698,17,8,0.05
10698,29,12,0.05
10698,65,65,0.05
10698,70,8,0.05
10699,47,12,0
10700,1,5,0.2
10700,34,12,0.2
10700,68,40,0.2
10700,71,60,0.2
10701,59,42,0.15
10701,71,20,0.15
10701,76,35,0.15
10702,3,6,0
10702,76,15,0
10703,2,5,0
10703,59,35,0
10703,73,35,0
10704,4,6,0
10704,24,35,0
10704,48,24,0
10705,31,20,0
10705,32,4,0
10706,16,20,0
10706,43,24,0
10706,59,8,0
10707,55,21,0
10707,57,40,0
10707,70,28,0.15
10708,5,4,0
10708,36,5,0
10709,8,40,0
10709,51,28,0
10709,60,10,0
10710,19,5,0
10710,47,5,0
10711,19,12,0
10711,41,42,0
10711,53,120,0
10712,53,3,0.05
10712,56,30,0
10713,10,18,0
10713,26,30,0
10713,45,110,0
10713,46,24,0
10714,2,30,0.25
10714,17,27,0.25
10714,47,50,0.25
10714,56,18,0.25
10714,58,12,0.25
10715,10,21,0
10715,71,30,0
10716,21,5,0
10716,51,7,0
10716,61,10,0
10717,21,32,0.05
10717,54,15,0
10717,69,25,0.05
10718,12,36,0
10718,16,20,0
10718,36,40,0
10718,62,20,0
10719,18,12,0.25
10719,30,3,0.25
10719,54,40,0.25
10720,35,21,0
10720,71,8,0
10721,44,50,0.05
10722,2,3,0
10722,31,50,0
10722,68,45,0
10722,75,42,0
10723,26,15,0
10724,10,16,0
10724,61,5,0
10725,41,12,0
10725,52,4,0
10725,55,6,0
10726,4,25,0
10726,11,5,0
10727,17,20,0.05
10727,56,10,0.05
10727,59,10,0.05
10728,30,15,0
10728,40,6,0
10728,55,12,0
10728,60,15,0
10729,1,50,0
10729,21,30,0
10729,50,40,0
10730,16,15,0.05
10730,31,3,0.05
10730,65,10,0.05
10731,21,40,0.05
10731,51,30,0.05
10732,76,20,0
10733,14,16,0
10733,28,20,0
10733,52,25,0
10734,6,30,0
10734,30,15,0
10734,76,20,0
10735,61,20,0.1
10735,77,2,0.1
10736,65,40,0
10736,75,20,0
10737,13,4,0
10737,41,12,0
10738,16,3,0
10739,36,6,0
10739,52,18,0
10740,28,5,0.2
10740,35,35,0.2
10740,45,40,0.2
10740,56,14,0.2
10741,2,15,0.2
10742,3,20,0
10742,60,50,0
10742,72,35,0
10743,46,28,0.05
10744,40,50,0.2
10745,18,24,0
10745,44,16,0
10745,59,45,0
10745,72,7,0
10746,13,6,0
10746,42,28,0
10746,62,9,0
10746,69,40,0
10747,31,8,0
10747,41,35,0
10747,63,9,0
10747,69,30,0
10748,23,44,0
10748,40,40,0
10748,56,28,0
10749,56,15,0
10749,59,6,0
10749,76,10,0
10750,14,5,0.15
10750,45,40,0.15
10750,59,25,0.15
10751,26,12,0.1
10751,30,30,0
10751,50,20,0.1
10751,73,15,0
10752,1,8,0
10752,69,3,0
10753,45,4,0
10753,74,5,0
10754,40,3,0
10755,47,30,0.25
10755,56,30,0.25
10755,57,14,0.25
10755,69,25,0.25
10756,18,21,0.2
10756,36,20,0.2
10756,68,6,0.2
10756,69,20,0.2
10757,34,30,0
10757,59,7,0
10757,62,30,0
10757,64,24,0
10758,26,20,0
10758,52,60,0
10758,70,40,0
10759,32,10,0
10760,25,12,0.25
10760,27,40,0
10760,43,30,0.25
10761,25,35,0.25
10761,75,18,0
10762,39,16,0
10762,47,30,0
10762,51,28,0
10762,56,60,0
10763,21,40,0
10763,22,6,0
10763,24,20,0
10764,3,20,0.1
10764,39,130,0.1
10765,65,80,0.1
10766,2,40,0
10766,7,35,0
10766,68,40,0
10767,42,2,0
10768,22,4,0
10768,31,50,0
10768,60,15,0
10768,71,12,0
10769,41,30,0.05
10769,52,15,0.05
10769,61,20,0
10769,62,15,0
10770,11,15,0.25
10771,71,16,0
10772,29,18,0
10772,59,25,0
10773,17,33,0
10773,31,70,0.2
10773,75,7,0.2
10774,31,2,0.25
10774,66,50,0
10775,10,6,0
10775,67,3,0
10776,31,16,0.05
10776,42,12,0.05
10776,45,27,0.05
10776,51,120,0.05
10777,42,20,0.2
10778,41,10,0
10779,16,20,0
10779,62,20,0
10780,70,35,0
10780,77,15,0
10781,54,3,0.2
10781,56,20,0.2
10781,74,35,0
10782,31,1,0
10783,31,10,0
10783,38,5,0
10784,36,30,0
10784,39,2,0.15
10784,72,30,0.15
10785,10,10,0
10785,75,10,0
10786,8,30,0.2
10786,30,15,0.2
10786,75,42,0.2
10787,2,15,0.05
10787,29,20,0.05
10788,19,50,0.05
10788,75,40,0.05
10789,18,30,0
10789,35,15,0
10789,63,30,0
10789,68,18,0
10790,7,3,0.15
10790,56,20,0.15
10791,29,14,0.05
10791,41,20,0.05
10792,2,10,0
